Timestamp;RL;TopWell
2/08/2022 13:00;370;2158
2/08/2022 14:00;370;2158
2/08/2022 15:00;370;2158
2/08/2022 16:00;370;2158
2/08/2022 17:00;370;2158
2/08/2022 18:00;370;2158
2/08/2022 19:00;370;2158
2/08/2022 20:00;370;2158
2/08/2022 21:00;370;2158
2/08/2022 22:00;370;2158
2/08/2022 23:00;370;2158
3/08/2022 0:00;370;2158
3/08/2022 1:00;370;2158
3/08/2022 2:00;370;2158
3/08/2022 3:00;370;2158
3/08/2022 4:00;370;2158
3/08/2022 5:00;370;2158
3/08/2022 6:00;370;2158
3/08/2022 7:00;370;2158
3/08/2022 8:00;370;2158
3/08/2022 9:00;370;2158
3/08/2022 10:00;370;2158
3/08/2022 11:00;370;2158
3/08/2022 12:00;370;2158
3/08/2022 13:00;370;2158
3/08/2022 14:00;370;2158
3/08/2022 15:00;370;2158
3/08/2022 16:00;370;2158
3/08/2022 17:00;370;2158
3/08/2022 18:00;370;2158
3/08/2022 19:00;370;2158
3/08/2022 20:00;370;2158
3/08/2022 21:00;370;2158
3/08/2022 22:00;370;2158
3/08/2022 23:00;370;2158
4/08/2022 0:00;370;2158
4/08/2022 1:00;370;2158
4/08/2022 2:00;370;2158
4/08/2022 3:00;370;2158
4/08/2022 4:00;370;2158
4/08/2022 5:00;370;2158
4/08/2022 6:00;370;2158
4/08/2022 7:00;370;2158
4/08/2022 8:00;370;2158
4/08/2022 9:00;370;2158
4/08/2022 10:00;370;2158
4/08/2022 11:00;370;2158
4/08/2022 12:00;370;2158
4/08/2022 13:00;370;2158
4/08/2022 14:00;370;2158
4/08/2022 15:00;370;2158
4/08/2022 16:00;370;2158
4/08/2022 17:00;370;2158
4/08/2022 18:00;370;2158
4/08/2022 19:00;370;2158
4/08/2022 20:00;370;2158
4/08/2022 21:00;370;2158
4/08/2022 22:00;370;2158
4/08/2022 23:00;370;2158
5/08/2022 0:00;370;2158
5/08/2022 1:00;370;2158
5/08/2022 2:00;370;2158
5/08/2022 3:00;370;2158
5/08/2022 4:00;370;2158
5/08/2022 5:00;370;2158
5/08/2022 6:00;370;2158
5/08/2022 7:00;370;2158
5/08/2022 8:00;370;2158
5/08/2022 9:00;370;2158
5/08/2022 10:00;370;2158
5/08/2022 11:00;370;2158
5/08/2022 12:00;370;2158
5/08/2022 13:00;370;2158
5/08/2022 14:00;370;2158
5/08/2022 15:00;370;2158
5/08/2022 16:00;370;2158
5/08/2022 17:00;370;2158
5/08/2022 18:00;370;2158
5/08/2022 19:00;370;2158
5/08/2022 20:00;370;2158
